comparison,layer,n_train,n_eval,direction_norm,delta_norm_mean,delta_norm_std,projection_mean,projection_std,cosine_mean,cosine_std,probe_position
refusal_prefix-plain,0,32,32,1.7442946434020996,1.7442946434020996,0.0,1.7442947626113892,0.0,1.0000001192092896,0.0,final_token
refusal_prefix-plain,1,32,32,2.5543723106384277,2.5745036602020264,0.011109558865427971,2.560234308242798,0.012764247134327888,0.9944561719894409,0.001943374634720385,final_token
refusal_prefix-plain,2,32,32,3.4498202800750732,3.4733152389526367,0.018577944487333298,3.4479403495788574,0.02066613920032978,0.992694079875946,0.002592385746538639,final_token
refusal_prefix-plain,3,32,32,4.980257511138916,5.031143665313721,0.05625554174184799,4.986884117126465,0.05452552065253258,0.9912092089653015,0.002659542951732874,final_token
refusal_prefix-plain,4,32,32,5.833502292633057,5.952477931976318,0.07572460174560547,5.835385322570801,0.07291249185800552,0.9803467392921448,0.005471022799611092,final_token
refusal_prefix-plain,5,32,32,6.635383605957031,6.861979961395264,0.08813440054655075,6.634250640869141,0.10147982835769653,0.9668703675270081,0.013144935481250286,final_token
refusal_prefix-plain,6,32,32,7.008944511413574,7.367855548858643,0.11125416308641434,6.979188919067383,0.1537061631679535,0.947415292263031,0.023237572982907295,final_token
refusal_prefix-plain,7,32,32,7.8364787101745605,8.238727569580078,0.18390662968158722,7.750960350036621,0.183517187833786,0.941169023513794,0.027373051270842552,final_token
refusal_prefix-plain,8,32,32,8.185399055480957,8.664300918579102,0.25776270031929016,8.043159484863281,0.25765302777290344,0.9287733435630798,0.031321387737989426,final_token
refusal_prefix-plain,9,32,32,8.421659469604492,8.976912498474121,0.2805616855621338,8.206113815307617,0.3003492057323456,0.9147651195526123,0.03816630318760872,final_token
refusal_prefix-plain,10,32,32,8.463319778442383,9.13447380065918,0.24776962399482727,8.259936332702637,0.2678000032901764,0.9050458073616028,0.04076731950044632,final_token
refusal_prefix-plain,11,32,32,8.776833534240723,9.412712097167969,0.17551542818546295,8.556987762451172,0.2841942310333252,0.9095699787139893,0.038533762097358704,final_token
refusal_prefix-plain,12,32,32,9.441678047180176,10.024906158447266,0.1812608242034912,9.21448040008545,0.291342556476593,0.9195406436920166,0.03544849529862404,final_token
refusal_prefix-plain,13,32,32,9.938529968261719,10.448402404785156,0.13815292716026306,9.672107696533203,0.2751895487308502,0.9259718656539917,0.03206377848982811,final_token
refusal_prefix-plain,14,32,32,11.32564926147461,11.933572769165039,0.2602687180042267,11.174723625183105,0.2616569697856903,0.9368940591812134,0.030888579785823822,final_token
refusal_prefix-plain,15,32,32,12.679668426513672,13.302644729614258,0.4122951924800873,12.518975257873535,0.25533702969551086,0.9418047666549683,0.029188791289925575,final_token
refusal_prefix-plain,16,32,32,14.045502662658691,14.620075225830078,0.3868325650691986,13.826362609863281,0.28094127774238586,0.9462395310401917,0.02703547105193138,final_token
refusal_prefix-plain,17,32,32,16.172481536865234,16.725494384765625,0.49365195631980896,15.906213760375977,0.31553158164024353,0.9515352845191956,0.023384051397442818,final_token
refusal_prefix-plain,18,32,32,17.004179000854492,17.51750946044922,0.5219963788986206,16.692981719970703,0.3115026652812958,0.9534338712692261,0.02155611664056778,final_token
refusal_prefix-plain,19,32,32,18.029268264770508,18.539907455444336,0.5234962105751038,17.660642623901367,0.4481309652328491,0.9529532194137573,0.02393333800137043,final_token
